Science	Q1	21.17
Journal of Clinical Microbiology	Q1	5.07
Journal of Virology	Q1	4.37
PLoS Neglected Tropical Diseases	Q1	3.94
Vaccine	Q1	3.37
Applied and Environmental Microbiology	Q1	4.11
Infection and Immunity	Q1	3.16
Veterinary Microbiology	Q1	3.12
PLoS ONE	Q1	2.94
Journal of Medical Microbiology	Q1	2.15
EcoHealth	Q1	2.09
Avian Pathology	Q1	2.20
International Journal for Parasitology: Parasites and Wildlife	Q1	2.10
Journal of Virological Methods	Q3	1.84
Journal of Wildlife Diseases	Q2	1.46
Avian Diseases	Q2	1.49
Australian Veterinary Journal	Q2	1.08
